"INDIVIDUO","PLOT","ROW","COL","TIPO","GEN","PLANTA","geo_coordinates","Altura De Planta (cm)","Altura De Cápsulas","Número De Ramificações","Número De Plantas D","Número De Plantas M","Massa De Cápsula","Cápsulas","Massa De Grãos","Grãos - contagem","Grãos - Cor","Obs","Colheita","Florescimento Inicial","Florescimento Final","Severidade De Doenças","Acamamento","Cor Do grãos","Foto MMG","Massa MMG","RGB"
"41","9","1","9","DOURADA","G21","P1","","73","34",,,,"2.7","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F41_C%C3%A1psulas_1_2024-02-28-05-14-18.jpg","2.17","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F41_Gr%C3%A3os%20-%20contagem_2_2024-02-28-05-19-59.jpg",,,,,,,,,,,
"42","9","1","9","DOURADA","G21","P2","","68","39","3",,,"3.26","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F42_C%C3%A1psulas_1_2024-02-28-05-14-57.jpg","2.04","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F42_Gr%C3%A3os%20-%20contagem_1_2024-02-28-05-20-39.jpg",,,,,,,,,,,
"43","9","1","9","DOURADA","G21","P3","","68","48","1",,,"1.66","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F43_C%C3%A1psulas_1_2024-02-28-05-15-43.jpg","1.36","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F43_Gr%C3%A3os%20-%20contagem_1_2024-02-28-05-21-27.jpg",,,,,,,,,,,
"44","9","1","9","DOURADA","G21","P4","","69","47","1",,,"3.07","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F44_C%C3%A1psulas_1_2024-02-28-05-16-40.jpg","2.54","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F44_Gr%C3%A3os%20-%20contagem_1_2024-02-28-05-22-08.jpg",,,,,,,,,,,
"45","9","1","9","DOURADA","G21","P5","","75","39","3",,,"3.03","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F45_C%C3%A1psulas_1_2024-02-28-05-17-29.jpg","2.47","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F45_Gr%C3%A3os%20-%20contagem_1_2024-02-28-05-23-15.jpg",,,,,,,,,,,
"46","10","1","10","DOURADA","G23","P1","","73","45","1",,,"7.03","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F46_C%C3%A1psulas_1_2024-02-27-03-20-37.jpg","5.24","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F46_Gr%C3%A3os%20-%20contagem_1_2024-02-27-03-27-53.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F46_Gr%C3%A3os%20-%20Cor_1_2024-02-27-03-28-19.jpg",,,,,,,,,,
"47","10","1","10","DOURADA","G23","P2","","71","48","3",,,"4.37","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F47_C%C3%A1psulas_1_2024-02-27-03-21-51.jpg","3.57","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F47_Gr%C3%A3os%20-%20contagem_1_2024-02-27-03-29-28.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F47_Gr%C3%A3os%20-%20Cor_1_2024-02-27-03-29-54.jpg",,,,,,,,,,
"48","10","1","10","DOURADA","G23","P3","","74","46","1",,,"5.7","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F48_C%C3%A1psulas_1_2024-02-27-03-24-11.jpg","4.61","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F48_Gr%C3%A3os%20-%20contagem_1_2024-02-27-03-33-46.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F48_Gr%C3%A3os%20-%20Cor_1_2024-02-27-03-34-43.jpg",,,,,,,,,,
"49","10","1","10","DOURADA","G23","P4","","74","52","2",,,"3.02","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F49_C%C3%A1psulas_1_2024-02-27-03-25-40.jpg","2.49","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F49_Gr%C3%A3os%20-%20contagem_1_2024-02-27-03-36-09.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F49_Gr%C3%A3os%20-%20Cor_1_2024-02-27-03-36-31.jpg",,,,,,,,,,
"50","10","1","10","DOURADA","G23","P5","","61","39","4",,,"4.54","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F50_C%C3%A1psulas_1_2024-02-27-03-26-32.jpg","3.56","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F50_Gr%C3%A3os%20-%20contagem_1_2024-02-27-03-40-13.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F50_Gr%C3%A3os%20-%20Cor_1_2024-02-27-03-40-30.jpg",,,,,,,,,,
"51","11","1","11","DOURADA","G22","P1","","086","49","3","22",,"3.82","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F51_C%C3%A1psulas_1_2023-10-19-02-36-16.jpg","2.73","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F51_Gr%C3%A3os%20-%20contagem_1_2023-10-19-02-47-28.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F51_Gr%C3%A3os%20-%20Cor_1_2023-10-19-02-49-00.jpg",,,,,,,,,,
"52","11","1","11","DOURADA","G22","P2","","78","51",,,,"1.23","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F52_C%C3%A1psulas_1_2023-10-19-02-38-24.jpg","0.95","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F52_Gr%C3%A3os%20-%20contagem_1_2023-10-19-02-54-24.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F52_Gr%C3%A3os%20-%20Cor_1_2023-10-19-02-56-36.jpg",,,,,,,,,,
"53","11","1","11","DOURADA","G22","P3","","83","48","3",,,"5.88","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F53_C%C3%A1psulas_1_2023-10-19-02-41-11.jpg","4.25","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F53_Gr%C3%A3os%20-%20contagem_1_2023-10-19-03-01-01.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F53_Gr%C3%A3os%20-%20Cor_1_2023-10-19-03-03-25.jpg",,,,,,,,,,
"54","11","1","11","DOURADA","G22","P4","","77","48",,,,"1.13","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F54_C%C3%A1psulas_1_2023-10-19-02-43-11.jpg","0.85","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F54_Gr%C3%A3os%20-%20contagem_1_2023-10-19-03-05-40.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F54_Gr%C3%A3os%20-%20Cor_1_2023-10-19-03-06-43.jpg",,,,,,,,,,
"55","11","1","11","DOURADA","G22","P5","","60","41","2",,,"1.15","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F55_C%C3%A1psulas_1_2023-10-19-02-45-29.jpg","0.86","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F55_Gr%C3%A3os%20-%20contagem_1_2023-10-19-03-08-02.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F55_Gr%C3%A3os%20-%20Cor_1_2023-10-19-03-08-54.jpg",,,,,,,,,,
"56","12","1","12","DOURADA","G36","P1","","74","40","4","21","0","4.7","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F56_C%C3%A1psulas_1_2023-10-17-10-12-55.jpg","0.04","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F56_Gr%C3%A3os%20-%20contagem_1_2023-10-17-10-15-45.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F56_Gr%C3%A3os%20-%20Cor_1_2023-10-17-10-16-15.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2Faudio%2F56%202023-10-17-03-59-21.mp4",,,,,,"Dourado",,,
"57","12","1","12","DOURADA","G36","P2","","84","54","2","21","0","3.79","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F57_C%C3%A1psulas_1_2023-10-17-09-44-20.jpg","2.64","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F57_Gr%C3%A3os%20-%20contagem_1_2023-10-17-09-51-36.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F57_Gr%C3%A3os%20-%20Cor_1_2023-10-17-09-53-03.jpg",,,,,,,"Dourado",,,
"58","12","1","12","DOURADA","G36","P3","","74","40","2","21","0","1.5","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F58_C%C3%A1psulas_1_2023-10-17-09-55-23.jpg","1.1","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F58_Gr%C3%A3os%20-%20contagem_1_2023-10-17-09-59-52.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F58_Gr%C3%A3os%20-%20Cor_1_2023-10-17-10-01-41.jpg",,,,,,,"Dourado",,,
"59","12","1","12","DOURADA","G36","P4","","65","35","3","21","0","0.55","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F59_C%C3%A1psulas_1_2023-10-17-10-03-45.jpg","0.34","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F59_Gr%C3%A3os%20-%20contagem_1_2023-10-17-10-09-29.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F59_Gr%C3%A3os%20-%20Cor_1_2023-10-17-10-10-53.jpg",,,,,,,"Dourado",,,
"60","12","1","12","DOURADA","G36","P5","","72","40","1","21","0","0.09","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F60_C%C3%A1psulas_1_2023-10-17-09-21-12.jpg","3.05","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F60_Gr%C3%A3os%20-%20contagem_1_2023-10-17-09-33-53.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F60_Gr%C3%A3os%20-%20Cor_1_2023-10-17-09-36-19.jpg",,,,,,,"Dourado",,,
"61","13","1","13","DOURADA","G37","P1","","86","48","3",,,"4.45","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F61_C%C3%A1psulas_1_2023-12-22-06-29-49.jpg","3.74","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F61_Gr%C3%A3os%20-%20contagem_1_2023-12-22-06-51-41.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F61_Gr%C3%A3os%20-%20Cor_1_2023-12-22-06-52-28.jpg",,,,,,,,,,
"62","13","1","13","DOURADA","G37","P2","","80.5","49","2",,,"1.44","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F62_C%C3%A1psulas_1_2023-12-22-06-32-56.jpg","2.35","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F62_Gr%C3%A3os%20-%20contagem_1_2023-12-22-06-54-27.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F62_Gr%C3%A3os%20-%20Cor_1_2023-12-22-06-54-48.jpg",,,,,,,,,,
"63","13","1","13","DOURADA","G37","P3","","79","51","3",,,"1.26","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F63_C%C3%A1psulas_1_2023-12-22-06-35-46.jpg","1.2","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F63_Gr%C3%A3os%20-%20contagem_1_2023-12-22-06-55-51.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F63_Gr%C3%A3os%20-%20Cor_1_2023-12-22-06-56-05.jpg",,,,,,,,,,
"64","13","1","13","DOURADA","G37","P4","","78","47","1",,,"1.17","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F64_C%C3%A1psulas_1_2023-12-22-06-40-41.jpg","0.79","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F64_Gr%C3%A3os%20-%20contagem_1_2023-12-22-06-58-40.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F64_Gr%C3%A3os%20-%20Cor_1_2023-12-22-06-58-54.jpg",,,,,,,,,,
"65","13","1","13","DOURADA","G37","P5","","77","51.5",,,,"0.50","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F65_C%C3%A1psulas_1_2023-12-22-06-42-14.jpg","0.38","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F65_Gr%C3%A3os%20-%20contagem_1_2023-12-22-07-00-51.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F65_Gr%C3%A3os%20-%20Cor_2_2023-12-22-07-01-32.jpg",,,,,,,,,,
"66","14","1","14","DOURADA","G43","P1","","72","44","2","17",,"1.38","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F66_C%C3%A1psulas_1_2024-01-29-11-09-59.jpg","1.09","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F66_Gr%C3%A3os%20-%20contagem_1_2024-01-29-11-21-15.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F66_Gr%C3%A3os%20-%20Cor_1_2024-01-29-11-21-25.jpg",,,,,,,,,,
"67","14","1","14","DOURADA","G43","P2","","84","52","2",,,"0.74","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F67_C%C3%A1psulas_1_2024-01-29-11-11-44.jpg","0.5","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F67_Gr%C3%A3os%20-%20contagem_1_2024-01-29-11-24-23.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F67_Gr%C3%A3os%20-%20Cor_1_2024-01-29-11-24-33.jpg",,,,,,,,,,
"68","14","1","14","DOURADA","G43","P3","","72","50",,,,"1.74","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F68_C%C3%A1psulas_1_2024-01-29-11-15-00.jpg","1.47","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F68_Gr%C3%A3os%20-%20contagem_1_2024-01-29-11-30-29.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F68_Gr%C3%A3os%20-%20Cor_1_2024-01-29-11-30-45.jpg",,,,,,,,,,
"69","14","1","14","DOURADA","G43","P4","","62","50","1",,,"1.9","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F69_C%C3%A1psulas_1_2024-01-29-11-16-08.jpg","1.57","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F69_Gr%C3%A3os%20-%20contagem_1_2024-01-29-11-33-48.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F69_Gr%C3%A3os%20-%20Cor_1_2024-01-29-11-34-02.jpg",,,,,,,,,,
"70","14","1","14","DOURADA","G43","P5","","70","44","2",,,"1.69","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F70_C%C3%A1psulas_1_2024-01-29-11-17-25.jpg",,,,,,,,,,,,,
"71","15","1","15","DOURADA","G55","P1","","77.5","53.5","2","8","4","2.69","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F71_C%C3%A1psulas_1_2023-12-16-09-19-25.jpg","2.03","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F71_Gr%C3%A3os%20-%20contagem_1_2023-12-16-10-05-30.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F71_Gr%C3%A3os%20-%20Cor_1_2023-12-16-10-06-53.jpg",,,,,,,,,,
"72","15","1","15","DOURADA","G55","P2","","80","45","2",,,"3.40","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F72_C%C3%A1psulas_1_2023-12-16-09-23-24.jpg","2.20","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F72_Gr%C3%A3os%20-%20contagem_1_2023-12-16-10-12-38.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F72_Gr%C3%A3os%20-%20Cor_1_2023-12-16-10-13-59.jpg",,,,,,,,,,
"73","15","1","15","DOURADA","G55","P3","","75.5","53","4",,,"3.1","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FC%C3%A1psulas%2F73_C%C3%A1psulas_1_2023-12-16-09-36-27.jpg","2.29","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20contagem%2F73_Gr%C3%A3os%20-%20contagem_1_2023-12-16-10-20-07.jpg","content://com.android.externalstorage.documents/tree/primary%3AFieldBook/document/primary%3AFieldBook%2Fplot_data%2Fdados_lab%2FGr%C3%A3os%20-%20Cor%2F73_Gr%C3%A3os%20-%20Cor_1_2023-12-16-10-20-57.jpg",,,,,,,,,,
